벙크백패커스 게스트하우스	bunk2nd.seoul@gmail.com
베니키아양산호텔	ysbenikeahotel@naver.com
벤틀리호텔	bentleyhotel@naver.com
벨린스테이	euije0314@naver.com
봉래모텔	sales@hotelacumen.com
북촌다미	mayorcida@naver.com
브라운도트호텔 충무공점	jinjudot@gmail.com
브라운도트호텔 충무공점	browndot0501@gmail.com
브라운스위트 신촌	rsvnsc@brownsuites-sc.com
브이스테이	vstayhostel@naver.com
블루앤 호텔	blueandhotel@gmail.com
블루원 상주	24031@blueone.com
비바체리조트	vivace9494@naver.com
쁘띠호텔 통통	tongtongpetit@gmail.com
사랑의수양관	pjhm00@sarang.org
사운즈인	nichevv@gmail.com
사운즈인	nichevv@gmail.com
산청한방가족호텔	jsc5405@hanmail.net
서울달빛 게스트하우스 동대문점	dalbit8877@naver.com
서울뷰 게스트하우스	seoulview123@gmail.com
서정적인 호텔	enablerwook@naver.com
서정적인 호텔 부산영도점	wang1092@naver.com
소시스테이	sosistay@gmail.com
속초마리나호텔	scmarina0401@naver.com
쉼	shimwithu@naver.com
스테이 묘미	stay.myomi.jongno@gmail.com
스테이 서래	stay_seorae@naver.com
스테이큐	tax@stayq.kr
스테이토스트	lovehg315@naver.com
스티치스 게스트하우스	stitchesguesthouse@gmail.com
스페이스 게스트하우스	jaepari0@naver.com
스페이스 게스트하우스	0ysuk@naver.com
슬로시티 게스트하우스	slowciti@naver.com
신라 레거시&부티크 호텔	innovation25@cmgroup.co.kr
신라 레거시&부티크 호텔	onda.gsa@onda.me
신라 레거시&부티크 호텔	onda.gsa@onda.me
신안비치호텔	shinan3@bill36524.com
심플스테이	sj22681277@hanmail.net
썬스테이	hotelsunstay@naver.com
썬앤문리조트	dldudwn9043@naver.com
쏘타스위트 부산서면	camilla@whatsong.kr
쏘타스위트 평택 고덕	help@whatsong.kr
쏘타스위트 평택 고덕	help@whatsong.kr
쏘타스위트 평택 고덕	help@whatsong.kr
아르츠 스파 앤 풀빌라	arts7858@gmail.com
아르츠 스파 앤 풀빌라	arts7858@gmail.com
아이체크현진	icheckhotel@naver.com
아이하우스친친	iHousechinchin@gmail.com
아테네	designerlee@naver.com
아트래블 명동	artravel.myeongdong12@gmail.com
아트래블홈	artravelhome@gmail.com
알게스트하우스 서울역, 인사동	rgeho100@gmail.com
알게스트하우스 서울역, 인사동	jejurhotel03@gmail.com
알게스트하우스 서울역, 인사동, 종묘	jejurhotel04@gmail.com
양지파인리조트	reservation.sy25@gmail.com
어니스티 스테이션	tevast@naver.com
언플러그 안국	dhskt1023@gmail.com
에스파스 호스텔	espace_hostel@naver.com
에이큐브호텔	acc.ddm@acubehotel.com
엠지스테이	mzstay7730@gmail.com
여수 웅천 퍼스트 바이 쏘타	firstlodgment@daum.net
여우비호텔	kyongs2002@naver.com
영무 (광주 대인동) 2차	ym2222955@naver.com
영무인더스 (광주 대인동) 3차	ym2222955@naver.com
영무인더스 (음성)	ym-indus@naver.com
오리엔트리조트	orientgroup@naver.com
오색그린야드	hotelosaek@naver.com
오션트리	oceantree8@naver.com
오푸스 호텔	opus7710@gmail.com
옥연정사	rsh12345@naver.com
와쏭	holysmj@naver.com
용인 트리니호텔	jmdp1499@naver.com
용인센트럴코업	yongincoop00@naver.com
원투쓰리 호스텔, 쓰리 게스트하우스	ashleykim13@naver.com
웨스턴그레이스	westerngraceht@gmail.com
위고인호스텔	wegoinnteam@gmail.com
이코노미호텔 인천부평	onda.gsa@onda.me
이화 인 명동	ehwahotel@gmail.com
인더시티 명동	contact@wetake.co.kr
인더시티 양양	contact@wetake.co.kr
인더시티 충무로	wetaketax@gmail.com
인더시티 충무로	contact@wetake.co.kr
인더시티 충무로	contact@wetake.co.kr
인더시티 충무로	contact@wetake.co.kr
인문정신연수원	effort@koreastudy.or.kr
인터내셔널 오션파크 나인 (구: 위코스테이영종)	polosanghamm@naver.com
인터내셔널호텔 영종	polosanghamm@naver.com
인피니티	jejuinfinity@naver.com
저스트 슬립 김포구래	rkal072@naver.com
정하우스	jeong-house@naver.com
제이나인 게스트하우스	trademaker17@naver.com
제주리치호텔	jeju-richhotel@naver.com
지리산 햇살	jirisan3070@gmail.com
지리산풍경	jirisanparkview2@gmail.com
지에스티	chy@gnst.co.kr
청주 뉴베라 호텔	newverahotel@naver.com
체이슨엠	chasonm1@naver.com
춘천세종호텔	musm1971@naver.com
춘천이스티아	jym5686@naver.com
취다선 리조트	chuidasun@naver.com
칼리스타 호텔	calistarhotel@gmail.com
케이브명동 (구: 쓰리게스트하우스)	cavemyeongdong@naver.com
케이팝 하우스	kpop6677@naver.com
케이팝호텔 서울역점	kpop6677@naver.com
코코아 게스트하우스	pgh3459@gmail.com
콘스텔로 명동	ljytwinsmam@naver.com
크래쉬 인 용산	amalficorp23@gmail.com
탑오션	kntop03470@naver.com
테크노밸리호텔	an9437@hanmail.net
트래블라이트 호스텔	travel.light.bs@gmail.com
트래블라이트 호스텔	travel.light.gj@gmail.com
트래블리 가평	jwpark99@live.com
트래블어스	travelus.md@gmail.com
파크뷰테라스호텔	pvterrace@naver.com
팜파스 펜션	bill033@nate.com
퍼플315	dongjin1999@naver.com
평택코업스테이	cooppt@naver.com
포게이츠 호스텔	Kob680123@naver.com
포레스트레지던스	tevast@naver.com
포유 스테이	kiu7687@naver.com
포유리조트	piu1004@naver.com
폰타나비치호텔	fontana3000@naver.com
플레아드블랑	jienhaeundae@naver.com
필그림하우스	pilgrimhouse@jiguchon.org
필스테이이화부띠끄	philstayehwa@gmail.com
필스테이 명동 부티크	philstaymdmt@gmail.com
하늘과 바다	mmm6677@naver.com
하모리 게스트하우스	hamory3388@gmail.com
하오 게스트하우스	haohao012120@gmail.com
하운드 호텔 기장 일광	houndig2021@naver.com
하이 동대문 호스텔	hiddphostel@gmail.com
하이데어	hithere2022@naver.com
하이데어	hithere2022@naver.com
하이스테이을지로	5bunju@naver.com
하이힐링원(산림힐링재단)	booking@foresthealing.or.kr
한강 레지던스 앤 게스트하우스	hanriverseoul@gmail.com
해나 게스트하우스	jejuhannah@naver.com
해리안 호텔	bada416@naver.com
해운대영무파라드	skqldi80@naver.com
해치스테이	hanssemjy@naver.com
헤이마 게스트하우스	heima0225@gmail.com
현대레지던스	presjeon@naver.com
호스텔 하루	hostelharu@gmail.com
호텔 도토리	kthzzanga@naver.com
호텔 드몽드	hoteldemonde@naver.com
호텔 모노새재	sungmk7@naver.com
호텔 봄	bong91008@naver.com
호텔 여기어때 영덕점	balri0509@naver.com
호텔 영일대	yeongildae@poswel.co.kr
호텔 온유	dadanorriter@naver.com
호텔 지뜨	hotelgite@naver.com
호텔 휴 로프트	thehotelhue@gmail.com
호텔1	hotel1@vravo.me
호텔스테이인터뷰제주	interview-jeju@naver.com
호텔씨엘	ookson@hanmail.net
호텔폭스아트홀	foxarthall@naver.com
홈즈스테이 명동	account@homes.global
홍대스타일 게스트하우스	hongdae-style@naver.com
홍대준게스트하우스	lsmhji@naver.com
화양강 호텔	nc1500@nate.com
화웬하우스, 호텔 JL, J5, 만소 호스텔	rlflszlworl@naver.com
화웬하우스, 호텔 JL, J5, 만소 호스텔	bsj0385@naver.com
화웬하우스, 호텔 JL, J5, 만소 호스텔	serpent11@naver.com
화이트 린넨 하우스	support@whitelinen.house
효이스테이 센텀호텔, 더광안, 부산송도	hyoistay@naver.com
효이스테이 센텀호텔, 더광안, 부산송도	hyoibusansongdo@gmail.com
효이스테이 센텀호텔, 더광안, 부산송도	hyoistay@naver.com
Huga Inn (휴가 인)	ratm9279@naver.com
J5호스텔	j5hostel@naver.com
N285 호텔인사동	n285hotel@naver.com
PTX휴식서귀포	hotel-rest@naver.com
The Hyde City	seti0211@naver.com
YAB Guest House	yab.guesthouse@gmail.com
